區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,35361.99,3623.68,2908.41,2634.25,2823.29,2979.09,2913.92,3046.19,3093.05,2950.00,2805.93,2668.46,2915.72
北投區,2448.71,252.76,199.00,166.36,198.49,220.52,220.78,209.67,205.30,204.79,188.96,179.40,202.68
松山區,2764.38,315.90,228.48,196.62,223.07,227.83,218.03,232.63,233.37,208.12,224.64,215.19,240.50
中山區,4549.04,466.72,360.42,347.98,366.97,384.03,370.42,394.33,392.32,372.23,365.30,350.93,377.39
南港區,1410.07,146.33,114.00,112.35,107.84,114.08,120.14,122.14,125.60,117.06,109.28,116.92,104.33
士林區,3519.39,341.04,264.74,266.98,298.09,300.48,299.87,311.51,311.49,299.12,278.54,263.10,284.43
內湖區,3458.88,367.44,267.48,250.16,283.32,295.57,275.28,312.87,307.94,289.24,281.02,254.03,274.53
信義區,3107.23,296.60,247.80,229.83,239.05,258.94,256.78,264.97,275.11,267.29,242.04,249.28,279.54
中正區,2267.71,207.21,188.07,163.21,177.53,194.40,194.13,205.58,208.22,192.28,180.46,172.43,184.19
萬華區,1980.29,226.57,175.69,156.83,157.65,172.07,159.85,155.26,160.72,157.78,153.26,144.18,160.43
大安區,4355.70,417.69,373.18,327.14,348.90,361.28,360.25,373.78,398.37,375.61,346.93,322.67,349.90
文山區,4115.20,439.68,369.38,305.25,313.94,341.03,337.00,359.96,358.88,346.62,314.55,295.40,333.51
大同區,1125.23,118.08,98.90,74.24,83.82,94.13,88.46,90.42,97.23,101.87,90.73,87.89,99.46
其他,260.16,27.66,21.27,37.30,24.62,14.73,12.93,13.07,18.50,17.99,30.22,17.04,24.83
